depth,delta_GR
0.2032,-0.23889999999999997
0.2286,-0.22820000000000001
0.254,-0.2176
0.2794,-0.1499
0.3048,-0.0393
0.3302,0.06520000000000001
0.3556,0.16509999999999997
0.381,0.2651
0.4064,0.3651
0.4318,0.4575
0.4572,0.5445
0.4826,0.5744
0.508,0.5613999999999999
0.5334,0.5485
0.5588,0.5355
0.5842,0.49479999999999996
0.6096,0.4333
0.635,0.37929999999999997
0.6604,0.3308000000000001
0.6858,0.2823
0.7112,0.2338
0.7366,0.20879999999999999
0.762,0.2016
0.7874,0.22210000000000008
0.8128,0.2634000000000001
0.8382,0.30469999999999997
0.8636,0.34609999999999996
0.889,0.3861
0.9144,0.4250999999999999
0.9398,0.4406
0.9652,0.43830000000000013
0.9906,0.43599999999999994
1.016,0.43379999999999996
1.0414,0.4346000000000001
1.0668,0.4376
1.0922,0.44209999999999994
1.1176,0.4475
1.143,0.45300000000000007
1.1684,0.4583999999999999
1.1938,0.4357
1.2192,0.39159999999999995
1.2446,0.3446
1.27,0.2952999999999999
1.2954,0.2459
1.3208,0.19650000000000012
1.3462,0.09419999999999984
1.3716,-0.04800000000000004
1.397,-0.16199999999999992
1.4224,-0.2546999999999999
1.4478,-0.34760000000000013
1.4732,-0.4403999999999999
1.4986,-0.5335999999999999
1.524,-0.6269
1.5494,-0.6674
1.5748,-0.6678999999999999
1.6002,-0.6685000000000001
1.6256,-0.669
1.651,-0.6155999999999999
1.6764,-0.5216000000000001
1.7018,-0.4272
1.7272,-0.3326
1.7526,-0.238
1.778,-0.14339999999999997
1.8034,-0.02279999999999993
1.8288,0.11709999999999998
1.8542,0.20320000000000005
1.8796,0.24860000000000015
1.905,0.2939999999999998
1.9304,0.3393999999999999
1.9558,0.3581000000000001
1.9812,0.3568
2.0066,0.3293999999999999
2.032,0.28269999999999995
2.0574,0.2359
2.0828,0.1891999999999998
2.1082,0.16880000000000006
2.1336,0.16830000000000012
2.159,0.1946000000000001
2.1844,0.2407999999999999
2.2098,0.28710000000000013
2.2352,0.3333999999999999
2.2606,0.36959999999999993
2.286,0.3981000000000001
2.3114,0.4004000000000001
2.3368,0.38270000000000004
2.3622,0.3648999999999998
2.3876,0.34719999999999995
2.413,0.3328
2.4384,0.3207
2.4638,0.3188000000000002
2.4892,0.3243999999999998
2.5146,0.33000000000000007
2.54,0.3356999999999999
2.5654,0.3462000000000003
2.5908,0.36019999999999985
2.6162,0.371
2.6416,0.37939999999999996
2.667,0.3876999999999997
2.6924,0.39620000000000033
2.7178,0.3923000000000001
2.7432,0.3791000000000002
2.7686,0.36119999999999974
2.794,0.3397000000000001
2.8194,0.31820000000000004
2.8448,0.29669999999999996
2.8702,0.19379999999999997
2.8956,0.02959999999999985
2.921,-0.12220000000000031
2.9464,-0.26480000000000015
2.9718,-0.40749999999999975
2.9972,-0.5501
3.0226,-0.7096
3.048,-0.8816999999999997
3.0734,-0.9722
3.0988,-1.0016
3.1242,-1.0311
3.1496,-1.0605
3.175,-0.9588000000000001
3.2004,-0.7582999999999998
3.2258,-0.5411000000000001
3.2512,-0.31130000000000013
3.2766,-0.0815999999999999
3.302,0.1483000000000001
3.3274,0.3824000000000001
3.3528,0.6196999999999999
3.3782,0.7258999999999998
3.4036,0.7332999999999998
3.429,0.7408000000000001
3.4544,0.7483000000000002
3.4798,0.7004000000000001
3.5052,0.6107
3.5306,0.5167999999999999
3.556,0.41969999999999996
3.5814,0.3226
3.6068,0.22550000000000026
3.6322,0.11680000000000001
3.6576,-0.000800000000000356
3.683,-0.06300000000000017
3.7084,-0.08349999999999991
3.7338,-0.10400000000000009
3.7592,-0.12440000000000007
3.7846,-0.14829999999999988
3.81,-0.17470000000000008
3.8354,-0.18950000000000022
3.8608,-0.1953999999999998
3.8862,-0.20120000000000005
3.9116,-0.20710000000000006
3.937,-0.16489999999999982
3.9624,-0.08639999999999981
3.9878,-0.0045000000000001705
4.0132,0.07989999999999986
4.0386,0.16430000000000033
4.064,0.24880000000000013
4.0894,0.24960000000000004
4.1148,0.18759999999999977
4.1402,0.07750000000000012
4.1656,-0.06899999999999995
4.191,-0.2153999999999998
4.2164,-0.3616999999999999
4.2418,-0.39570000000000016
4.2672,-0.34509999999999996
4.2926,-0.2109000000000001
4.318,-0.013799999999999812
4.3434,0.18330000000000002
4.3688,0.38039999999999985
4.3942,0.5158
4.4196,0.6044999999999998
4.445,0.581
4.4704,0.4727999999999999
4.4958,0.36450000000000005
4.5212,0.2563
4.5466,0.1517999999999997
4.572,0.05010000000000003
4.5974,0.010099999999999998
4.6228,0.016799999999999926
4.6482,0.023299999999999876
4.6736,0.029799999999999827
4.699,0.022400000000000198
4.7244,0.0043999999999999595
4.7498,-0.01739999999999986
4.7752,-0.041999999999999815
4.8006,-0.06660000000000021
4.826,-0.09119999999999973
4.8514,-0.06199999999999983
4.8768,0.007700000000000262
4.9022,0.0913999999999997
4.9276,0.18550000000000022
4.953,0.2797999999999998
4.9784,0.3740999999999999
5.0038,0.4016000000000002
5.0292,0.3788
5.0546,0.3022
5.08,0.18520000000000003
5.1054,0.06820000000000004
5.1308,-0.0488000000000004
5.1562,-0.1339999999999999
5.1816,-0.19519999999999982
5.207,-0.18969999999999976
5.2324,-0.13390000000000013
5.2578,-0.07810000000000006
5.2832,-0.022299999999999986
5.3086,0.027200000000000113
5.334,0.07220000000000004
5.3594,0.08519999999999994
