depth,delta_GR
15.3924,-0.45139999999999997
15.5448,-0.23410000000000003
15.6972,-0.9265
15.8496,-0.584
16.002,-0.1245
16.1544,-0.8134
16.3068,1.2927
16.4592,1.2494
16.6116,0.19999999999999996
16.764,0.9583
16.9164,0.7471000000000001
17.0688,0.07389999999999985
17.2212,0.2298
17.3736,-0.4319000000000002
17.526,-1.1633
17.6784,-2.085
17.8308,-0.5159999999999998
17.9832,-0.6888999999999998
18.1356,-0.16989999999999972
18.288,0.8154999999999999
18.4404,0.17769999999999997
18.5928,-0.14749999999999974
18.7452,0.3926999999999998
18.8976,0.06740000000000013
19.05,1.8634
19.2024,1.4045
19.3548,1.5624000000000002
19.5072,1.0613
19.6596,1.5304
19.812,1.2207
19.9644,1.8067
20.1168,2.7329
20.2692,3.5561
20.4216,3.7024
20.574,2.7731000000000003
20.7264,2.1051
20.8788,2.5743
21.0312,1.9615
21.1836,1.7206
21.336,1.68
21.4884,2.0057
21.6408,1.8567999999999998
21.7932,1.4958
21.9456,1.3527
22.098,1.0050999999999999
22.2504,0.7086000000000001
22.4028,1.5050000000000001
22.5552,1.1901000000000002
22.7076,1.0316
22.86,1.0727
23.0124,1.0638000000000003
23.1648,0.6065999999999998
23.3172,0.4370000000000003
23.4696,0.46779999999999977
23.622,0.11150000000000015
23.7744,1.0453000000000001
23.9268,1.4627
24.0792,0.833
24.2316,0.16680000000000006
24.384,1.2905
24.5364,1.649
24.6888,1.2348999999999997
24.8412,1.2956000000000003
24.9936,2.0183
25.146,3.2493999999999996
25.2984,4.0207
25.4508,3.4292999999999996
25.6032,3.0248
25.7556,3.0414999999999996
25.908,3.7495
26.0604,2.9809
26.2128,2.3097
26.3652,1.8550999999999997
26.5176,0.8197000000000001
26.67,0.45699999999999985
26.8224,0.6309000000000002
26.9748,0.35539999999999994
27.1272,-0.4828000000000001
27.2796,-0.24549999999999983
27.432,-0.4071
27.5844,-0.8814000000000002
27.7368,-0.8696999999999999
27.8892,-0.8664000000000001
28.0416,-1.1154
28.194,0.13419999999999987
28.3464,-0.5036
28.4988,-1.0550999999999997
28.6512,-0.9699999999999998
28.8036,-0.4233
28.956,0.01089999999999991
29.1084,-0.0970000000000002
29.2608,-0.5626
29.4132,-0.3764000000000003
29.5656,-0.2904
29.718,-0.16249999999999998
29.8704,0.6673
30.0228,2.4113
30.1752,2.2352
30.3276,1.4241
30.48,1.0635
30.6324,1.5246
30.7848,1.5047000000000001
30.9372,2.2193
31.0896,2.113
31.242,2.8698
31.3944,3.1221
31.5468,2.2520000000000002
31.6992,1.0619
31.8516,1.2387
32.004,1.0539
32.1564,0.5032999999999999
32.3088,0.5670999999999999
32.4612,-0.6065000000000003
32.6136,-0.5297999999999998
32.766,0.08250000000000002
32.9184,-0.2992999999999999
33.0708,-0.43830000000000013
