well,log_type,dt,p0_total,p0_zero,p0_cont,eps,n_samples
349-U1431E,GR,1,0.07686102788660981,0.00023046784973496196,0.07663056003687485,0.02236729744665427,17356
349-U1431E,GR,3,0.02587299757980869,0.0,0.02587299757980869,0.02236729744665427,17354
349-U1431E,GR,8,0.011239840913020924,0.0,0.011239840913020924,0.02236729744665427,17349
349-U1431E,GR,10,0.01031878711016314,0.0,0.01031878711016314,0.02236729744665427,17347
349-U1431E,GR,20,0.005998731037665109,0.0,0.005998731037665109,0.02236729744665427,17337
349-U1431E,GR,50,0.0031779048939735367,0.0,0.0031779048939735367,0.02236729744665427,17307
349-U1431E,GR,100,0.003129164976531263,0.0,0.003129164976531263,0.02236729744665427,17257
349-U1431E,GR,250,0.0024551353247208745,0.0,0.0024551353247208745,0.02236729744665427,17107
349-U1431E,GR,500,0.0026695141484249867,0.0,0.0026695141484249867,0.02236729744665427,16857
349-U1431E,GR,1000,0.0015895335330439568,0.0,0.0015895335330439568,0.02236729744665427,16357
349-U1433B,GR,1,0.06650430872986138,0.0,0.06650430872986138,0.14534244954032777,5338
349-U1433B,GR,3,0.02717391304347826,0.0,0.02717391304347826,0.14534244954032777,5336
349-U1433B,GR,8,0.017069968111048585,0.0,0.017069968111048585,0.14534244954032777,5331
349-U1433B,GR,10,0.01763933195721524,0.0,0.01763933195721524,0.14534244954032777,5329
349-U1433B,GR,20,0.011280315848843767,0.0,0.011280315848843767,0.14534244954032777,5319
349-U1433B,GR,50,0.007941009642654566,0.0,0.007941009642654566,0.14534244954032777,5289
349-U1433B,GR,100,0.009734682191257874,0.0,0.009734682191257874,0.14534244954032777,5239
349-U1433B,GR,250,0.0068775790921595595,0.0,0.0068775790921595595,0.14534244954032777,5089
349-U1433B,GR,500,0.0041330853482124405,0.0,0.0041330853482124405,0.14534244954032777,4839
349-U1433B,GR,1000,0.0029960820465545056,0.0,0.0029960820465545056,0.14534244954032777,4339
353-U1445A,GR,1,0.045718432510885344,0.0,0.045718432510885344,0.1244247758221923,2756
353-U1445A,GR,3,0.020697167755991286,0.0,0.020697167755991286,0.1244247758221923,2754
353-U1445A,GR,8,0.016369588941433248,0.0,0.016369588941433248,0.1244247758221923,2749
353-U1445A,GR,10,0.017473607571896616,0.0,0.017473607571896616,0.1244247758221923,2747
353-U1445A,GR,20,0.014979905005480453,0.0,0.014979905005480453,0.1244247758221923,2737
353-U1445A,GR,50,0.010343553749538234,0.0,0.010343553749538234,0.1244247758221923,2707
353-U1445A,GR,100,0.007903650733910425,0.0,0.007903650733910425,0.1244247758221923,2657
