well,well_id,function,expression,r2,x_min,x_max,y_min,y_max,y_at_x_min,y_at_x_max
349-U1431E,1,logarithmic,y = -0.11*ln(x) + 0.85,0.56,1.0,1.95,0.76,0.87,0.87,0.78
349-U1431E,1,power,y = 0.85*x^-0.14,0.57,1.0,1.95,0.76,0.87,0.87,0.78
349-U1433B,2,logarithmic,y = -0.10*ln(x) + 0.82,0.27,0.52,1.73,0.74,0.98,0.98,0.91
349-U1433B,2,power,y = 0.82*x^-0.13,0.29,0.52,1.73,0.74,0.98,0.98,0.91
353-U1445A,3,linear,y = -0.16*x + 1.20,0.16,0.56,1.5,0.87,1.3,1.2,1.06
353-U1445A,3,exponential,y = 1.22*exp(-0.16*x),0.16,0.56,1.5,0.87,1.3,1.2,1.06
353-U1445A,3,logarithmic,y = -0.16*ln(x) + 1.03,0.18,0.56,1.5,0.87,1.3,1.2,1.06
353-U1445A,3,power,y = 1.03*x^-0.15,0.18,0.56,1.5,0.87,1.3,1.2,1.06
355-U1456C,4,logarithmic,y = -0.50*ln(x) + 0.75,0.36,0.7,1.47,0.64,1.34,1.34,0.66
355-U1456C,4,power,y = 0.73*x^-0.73,0.4,0.7,1.47,0.64,1.34,1.34,0.66
356-U1459C,5,linear,y = -0.16*x + 1.18,0.12,0.52,1.25,0.95,1.31,1.14,0.95
356-U1459C,5,exponential,y = 1.19*exp(-0.15*x),0.12,0.52,1.25,0.95,1.31,1.14,0.95
356-U1459C,5,logarithmic,y = -0.13*ln(x) + 1.02,0.12,0.52,1.25,0.95,1.31,1.14,0.95
356-U1459C,5,power,y = 1.02*x^-0.12,0.12,0.52,1.25,0.95,1.31,1.14,0.95
356-U1461D,6,logarithmic,y = -0.35*ln(x) + 0.98,0.63,0.46,1.45,0.9,1.39,1.34,0.97
356-U1461D,6,power,y = 0.97*x^-0.35,0.67,0.46,1.45,0.9,1.39,1.34,0.97
356-U1462A,7,logarithmic,y = -0.43*ln(x) + 0.85,0.9,0.44,1.5,0.71,1.2,1.19,0.71
356-U1462A,7,power,y = 0.83*x^-0.47,0.92,0.44,1.5,0.71,1.2,1.19,0.71
356-U1463B,8,power,y = 0.70*x^-0.89,0.44,0.66,1.61,0.59,1.29,1.23,0.62
356-U1464C,9,linear,y = 0.32*x + 0.64,0.27,0.63,1.24,0.62,1.11,0.74,0.98
356-U1464C,9,exponential,y = 0.68*exp(0.34*x),0.27,0.63,1.24,0.62,1.11,0.74,0.98
356-U1464C,9,logarithmic,y = 0.29*ln(x) + 0.97,0.29,0.63,1.24,0.62,1.11,0.74,0.98
356-U1464C,9,power,y = 0.96*x^0.31,0.29,0.63,1.24,0.62,1.11,0.74,0.98
359-U1466B,10,linear,y = -0.24*x + 1.36,0.52,0.33,1.46,0.97,1.41,1.41,1.03
359-U1466B,10,exponential,y = 1.38*exp(-0.22*x),0.53,0.33,1.46,0.97,1.41,1.41,1.03
359-U1466B,10,logarithmic,y = -0.19*ln(x) + 1.10,0.55,0.33,1.46,0.97,1.41,1.41,1.03
359-U1466B,10,power,y = 1.09*x^-0.16,0.55,0.33,1.46,0.97,1.41,1.41,1.03
359-U1467C,11,logarithmic,y = -0.32*ln(x) + 0.90,0.67,0.46,1.22,0.83,1.29,1.29,0.9
359-U1467C,11,power,y = 0.90*x^-0.33,0.68,0.46,1.22,0.83,1.29,1.29,0.9
359-U1468B,12,linear,y = 0.04*x + 0.97,0.09,0.31,1.25,0.94,1.09,0.99,0.99
359-U1468B,12,exponential,y = 0.97*exp(0.04*x),0.09,0.31,1.25,0.94,1.09,0.99,0.99
359-U1468B,12,logarithmic,y = 0.03*ln(x) + 1.01,0.11,0.31,1.25,0.94,1.09,0.99,0.99
359-U1468B,12,power,y = 1.01*x^0.03,0.11,0.31,1.25,0.94,1.09,0.99,0.99
359-U1471E,13,logarithmic,y = -0.14*ln(x) + 0.91,0.78,0.34,1.31,0.85,1.12,1.12,0.94
359-U1471E,13,power,y = 0.91*x^-0.15,0.79,0.34,1.31,0.85,1.12,1.12,0.94
367-U1499B,14,logarithmic,y = -0.26*ln(x) + 0.88,0.76,0.59,1.61,0.78,1.06,1.06,0.85
