well,well_id,function,expression,r2,x_min,x_max,y_min,y_max,y_at_x_min,y_at_x_max
349-U1431E,1,linear,y = -56.28*x + 114.36,0.98,1.0,1.95,2.38,56.11,56.11,2.38
349-U1431E,1,logarithmic,y = -80.22*ln(x) + 60.10,0.96,1.0,1.95,2.38,56.11,56.11,2.38
349-U1433B,2,linear,y = -20.87*x + 66.64,0.72,0.52,1.73,19.59,55.21,55.21,19.59
353-U1445A,3,exponential,y = 117.56*exp(-1.64*x),0.74,0.56,1.5,11.1,50.04,50.04,11.1
353-U1445A,3,logarithmic,y = -36.41*ln(x) + 24.33,0.73,0.56,1.5,11.1,50.04,50.04,11.1
353-U1445A,3,power,y = 21.58*x^-1.42,0.77,0.56,1.5,11.1,50.04,50.04,11.1
355-U1456C,4,exponential,y = 221.30*exp(-2.08*x),0.8,0.7,1.47,12.18,66.26,39.53,12.18
355-U1456C,4,logarithmic,y = -56.10*ln(x) + 29.79,0.77,0.7,1.47,12.18,66.26,39.53,12.18
355-U1456C,4,power,y = 26.29*x^-1.93,0.8,0.7,1.47,12.18,66.26,39.53,12.18
356-U1459C,5,exponential,y = 144.42*exp(-3.99*x),0.95,0.52,1.25,1.96,18.77,17.35,1.96
356-U1459C,5,power,y = 3.15*x^-2.71,0.97,0.52,1.25,1.96,18.77,17.35,1.96
356-U1461D,6,linear,y = -3.12*x + 13.16,0.12,0.46,1.45,5.16,14.04,8.5,5.16
356-U1461D,6,exponential,y = 12.99*exp(-0.26*x),0.1,0.46,1.45,5.16,14.04,8.5,5.16
356-U1462A,7,linear,y = -4.39*x + 12.57,0.64,0.44,1.5,3.96,11.09,8.99,3.96
356-U1462A,7,exponential,y = 13.20*exp(-0.49*x),0.6,0.44,1.5,3.96,11.09,8.99,3.96
356-U1463B,8,exponential,y = 155.01*exp(-2.27*x),0.79,0.66,1.61,5.96,36.27,35.7,5.96
356-U1463B,8,power,y = 15.10*x^-2.12,0.83,0.66,1.61,5.96,36.27,35.7,5.96
356-U1464C,9,linear,y = -35.77*x + 46.67,0.76,0.63,1.24,3.16,31.65,27.26,3.16
356-U1464C,9,exponential,y = 157.15*exp(-2.88*x),0.78,0.63,1.24,3.16,31.65,27.26,3.16
356-U1464C,9,logarithmic,y = -31.87*ln(x) + 10.02,0.78,0.63,1.24,3.16,31.65,27.26,3.16
356-U1464C,9,power,y = 8.47*x^-2.45,0.79,0.63,1.24,3.16,31.65,27.26,3.16
359-U1466B,10,linear,y = -1.25*x + 4.91,0.48,0.33,1.46,2.08,4.78,4.78,2.08
359-U1466B,10,exponential,y = 5.00*exp(-0.32*x),0.47,0.33,1.46,2.08,4.78,4.78,2.08
359-U1466B,10,logarithmic,y = -0.92*ln(x) + 3.58,0.45,0.33,1.46,2.08,4.78,4.78,2.08
359-U1466B,10,power,y = 3.57*x^-0.23,0.44,0.33,1.46,2.08,4.78,4.78,2.08
359-U1467C,11,linear,y = -0.60*x + 3.13,0.17,0.46,1.22,1.68,3.03,2.7,1.68
359-U1467C,11,exponential,y = 3.15*exp(-0.22*x),0.17,0.46,1.22,1.68,3.03,2.7,1.68
359-U1467C,11,logarithmic,y = -0.41*ln(x) + 2.53,0.14,0.46,1.22,1.68,3.03,2.7,1.68
359-U1467C,11,power,y = 2.54*x^-0.15,0.13,0.46,1.22,1.68,3.03,2.7,1.68
359-U1468B,12,linear,y = -0.91*x + 2.86,0.47,0.31,1.25,1.07,2.65,2.47,1.07
359-U1468B,12,exponential,y = 2.89*exp(-0.39*x),0.44,0.31,1.25,1.07,2.65,2.47,1.07
359-U1471E,13,linear,y = -1.57*x + 4.57,0.67,0.34,1.31,1.69,4.33,4.33,1.69
359-U1471E,13,exponential,y = 4.75*exp(-0.47*x),0.66,0.34,1.31,1.69,4.33,4.33,1.69
359-U1471E,13,logarithmic,y = -1.11*ln(x) + 2.93,0.63,0.34,1.31,1.69,4.33,4.33,1.69
367-U1499B,14,exponential,y = 127.66*exp(-1.90*x),0.94,0.59,1.61,7.58,44.32,44.32,7.58
367-U1499B,14,power,y = 17.90*x^-1.68,0.97,0.59,1.61,7.58,44.32,44.32,7.58
367-U1500B,15,linear,y = -7.85*x + 21.01,0.43,0.45,1.63,6.89,24.81,14.77,6.89
