well,well_id,function,expression,r2,x_min,x_max,y_min,y_max,y_at_x_min,y_at_x_max
349-U1431E,1,linear,y = 2.02*x + 3.36,0.04,1.0,1.95,1.96,13.41,3.71,1.96
349-U1431E,1,exponential,y = 4.38*exp(0.25*x),0.03,1.0,1.95,1.96,13.41,3.71,1.96
349-U1431E,1,logarithmic,y = 3.60*ln(x) + 5.02,0.05,1.0,1.95,1.96,13.41,3.71,1.96
349-U1431E,1,power,y = 5.33*x^0.47,0.04,1.0,1.95,1.96,13.41,3.71,1.96
349-U1433B,2,linear,y = -2.78*x + 12.60,0.29,0.52,1.73,4.81,12.53,9.87,8.8
349-U1433B,2,exponential,y = 13.13*exp(-0.30*x),0.3,0.52,1.73,4.81,12.53,9.87,8.8
349-U1433B,2,logarithmic,y = -2.78*ln(x) + 9.58,0.3,0.52,1.73,4.81,12.53,9.87,8.8
349-U1433B,2,power,y = 9.52*x^-0.28,0.29,0.52,1.73,4.81,12.53,9.87,8.8
353-U1445A,3,logarithmic,y = 6.26*ln(x) + 7.80,0.34,0.56,1.5,0.47,11.3,4.26,6.5
355-U1456C,4,linear,y = -1.64*x + 10.84,0.02,0.7,1.47,5.54,16.42,9.34,5.54
355-U1456C,4,exponential,y = 10.69*exp(-0.15*x),0.01,0.7,1.47,5.54,16.42,9.34,5.54
355-U1456C,4,logarithmic,y = -0.78*ln(x) + 9.18,0.0,0.7,1.47,5.54,16.42,9.34,5.54
355-U1456C,4,power,y = 9.19*x^-0.07,0.0,0.7,1.47,5.54,16.42,9.34,5.54
356-U1459C,5,linear,y = 1.29*x + 3.50,0.02,0.52,1.25,2.14,8.87,2.6,3.25
356-U1459C,5,exponential,y = 3.80*exp(0.22*x),0.02,0.52,1.25,2.14,8.87,2.6,3.25
356-U1459C,5,logarithmic,y = 1.68*ln(x) + 4.99,0.06,0.52,1.25,2.14,8.87,2.6,3.25
356-U1459C,5,power,y = 4.88*x^0.29,0.05,0.52,1.25,2.14,8.87,2.6,3.25
356-U1461D,6,logarithmic,y = -1.09*ln(x) + 2.99,0.45,0.46,1.45,2.23,4.09,4.07,2.7
356-U1461D,6,power,y = 2.95*x^-0.36,0.49,0.46,1.45,2.23,4.09,4.07,2.7
356-U1462A,7,linear,y = -1.14*x + 3.99,0.16,0.44,1.5,1.92,4.59,3.42,1.94
356-U1462A,7,exponential,y = 4.00*exp(-0.34*x),0.14,0.44,1.5,1.92,4.59,3.42,1.94
356-U1463B,8,linear,y = -1.20*x + 6.66,0.01,0.66,1.61,1.82,13.01,3.14,3.01
356-U1463B,8,exponential,y = 6.50*exp(-0.18*x),0.01,0.66,1.61,1.82,13.01,3.14,3.01
356-U1463B,8,logarithmic,y = -0.50*ln(x) + 5.42,0.0,0.66,1.61,1.82,13.01,3.14,3.01
356-U1463B,8,power,y = 5.42*x^-0.07,0.0,0.66,1.61,1.82,13.01,3.14,3.01
356-U1464C,9,linear,y = 0.74*x + 3.36,0.02,0.63,1.24,2.38,5.77,2.44,3.17
356-U1464C,9,exponential,y = 3.41*exp(0.18*x),0.02,0.63,1.24,2.38,5.77,2.44,3.17
356-U1464C,9,logarithmic,y = 0.67*ln(x) + 4.11,0.02,0.63,1.24,2.38,5.77,2.44,3.17
356-U1464C,9,power,y = 4.11*x^0.17,0.02,0.63,1.24,2.38,5.77,2.44,3.17
359-U1466B,10,linear,y = 0.09*x + 0.64,0.01,0.33,1.46,0.32,1.46,0.32,0.55
359-U1466B,10,exponential,y = 0.66*exp(0.11*x),0.01,0.33,1.46,0.32,1.46,0.32,0.55
359-U1466B,10,logarithmic,y = 0.14*ln(x) + 0.76,0.05,0.33,1.46,0.32,1.46,0.32,0.55
359-U1466B,10,power,y = 0.75*x^0.17,0.04,0.33,1.46,0.32,1.46,0.32,0.55
359-U1467C,11,linear,y = -6.86*x + 8.92,0.96,0.46,1.22,0.65,5.6,5.6,0.65
359-U1467C,11,exponential,y = 15.75*exp(-2.07*x),0.91,0.46,1.22,0.65,5.6,5.6,0.65
359-U1467C,11,logarithmic,y = -5.31*ln(x) + 1.94,0.93,0.46,1.22,0.65,5.6,5.6,0.65
359-U1468B,12,linear,y = -0.16*x + 1.79,0.04,0.31,1.25,1.1,2.04,1.47,1.1
359-U1468B,12,exponential,y = 1.79*exp(-0.09*x),0.04,0.31,1.25,1.1,2.04,1.47,1.1
359-U1468B,12,logarithmic,y = -0.08*ln(x) + 1.63,0.02,0.31,1.25,1.1,2.04,1.47,1.1
359-U1468B,12,power,y = 1.63*x^-0.05,0.02,0.31,1.25,1.1,2.04,1.47,1.1
359-U1471E,13,logarithmic,y = 0.15*ln(x) + 0.93,0.11,0.34,1.31,0.55,1.18,0.56,0.55
359-U1471E,13,power,y = 0.93*x^0.15,0.1,0.34,1.31,0.55,1.18,0.56,0.55
