well,well_id,function,expression,r2,x_min,x_max,y_min,y_max,y_at_x_min,y_at_x_max
349-U1431E,1,linear,y = 0.00*x + 0.77,0.3,0.45,17.29,0.76,0.87,0.8,0.87
349-U1431E,1,exponential,y = 0.77*exp(0.00*x),0.31,0.45,17.29,0.76,0.87,0.8,0.87
349-U1433B,2,logarithmic,y = -0.05*ln(x) + 0.96,0.11,2.91,27.4,0.74,0.98,0.96,0.98
349-U1433B,2,power,y = 0.97*x^-0.06,0.12,2.91,27.4,0.74,0.98,0.96,0.98
353-U1445A,3,linear,y = 0.00*x + 1.02,0.03,2.49,23.49,0.87,1.3,1.15,1.2
353-U1445A,3,exponential,y = 1.02*exp(0.00*x),0.03,2.49,23.49,0.87,1.3,1.15,1.2
353-U1445A,3,logarithmic,y = -0.00*ln(x) + 1.06,0.0,2.49,23.49,0.87,1.3,1.15,1.2
353-U1445A,3,power,y = 1.06*x^-0.00,0.0,2.49,23.49,0.87,1.3,1.15,1.2
355-U1456C,4,exponential,y = 0.52*exp(0.03*x),0.68,2.3,27.13,0.64,1.34,0.76,1.34
356-U1459C,5,linear,y = 0.01*x + 1.03,0.02,0.88,7.01,0.95,1.31,1.12,1.14
356-U1459C,5,exponential,y = 1.03*exp(0.01*x),0.02,0.88,7.01,0.95,1.31,1.12,1.14
356-U1459C,5,logarithmic,y = 0.01*ln(x) + 1.05,0.0,0.88,7.01,0.95,1.31,1.12,1.14
356-U1459C,5,power,y = 1.05*x^0.01,0.0,0.88,7.01,0.95,1.31,1.12,1.14
356-U1461D,6,exponential,y = 0.79*exp(0.06*x),0.4,1.03,7.24,0.9,1.39,1.03,1.34
356-U1462A,7,exponential,y = 0.54*exp(0.13*x),0.65,0.87,5.66,0.71,1.2,0.79,1.19
356-U1463B,8,exponential,y = 0.42*exp(0.07*x),0.69,1.11,14.4,0.59,1.29,0.68,1.29
356-U1464C,9,linear,y = -0.03*x + 1.08,0.71,0.93,13.48,0.62,1.11,0.94,0.62
356-U1464C,9,exponential,y = 1.09*exp(-0.03*x),0.68,0.93,13.48,0.62,1.11,0.94,0.62
359-U1466B,10,linear,y = 0.08*x + 1.01,0.11,0.44,2.17,0.97,1.41,1.11,1.41
359-U1466B,10,exponential,y = 1.01*exp(0.08*x),0.12,0.44,2.17,0.97,1.41,1.11,1.41
359-U1466B,10,logarithmic,y = 0.07*ln(x) + 1.12,0.07,0.44,2.17,0.97,1.41,1.11,1.41
359-U1466B,10,power,y = 1.11*x^0.07,0.08,0.44,2.17,0.97,1.41,1.11,1.41
359-U1467C,11,linear,y = 0.16*x + 0.69,0.62,0.42,2.6,0.8,1.29,0.8,1.29
359-U1467C,11,exponential,y = 0.70*exp(0.18*x),0.66,0.42,2.6,0.8,1.29,0.8,1.29
359-U1468B,12,linear,y = 0.05*x + 0.94,0.14,0.36,1.48,0.94,1.09,0.94,0.99
359-U1468B,12,exponential,y = 0.94*exp(0.05*x),0.14,0.36,1.48,0.94,1.09,0.94,0.99
359-U1468B,12,logarithmic,y = 0.04*ln(x) + 0.99,0.16,0.36,1.48,0.94,1.09,0.94,0.99
359-U1468B,12,power,y = 0.99*x^0.04,0.16,0.36,1.48,0.94,1.09,0.94,0.99
359-U1471E,13,linear,y = 0.10*x + 0.81,0.29,0.39,1.77,0.85,1.12,0.86,1.12
359-U1471E,13,exponential,y = 0.81*exp(0.11*x),0.29,0.39,1.77,0.85,1.12,0.86,1.12
359-U1471E,13,power,y = 0.92*x^0.09,0.24,0.39,1.77,0.85,1.12,0.86,1.12
367-U1499B,14,linear,y = 0.01*x + 0.80,0.35,1.65,18.8,0.78,1.06,1.0,1.06
367-U1499B,14,exponential,y = 0.80*exp(0.01*x),0.37,1.65,18.8,0.78,1.06,1.0,1.06
367-U1500B,15,linear,y = 0.00*x + 1.03,0.01,1.99,14.18,0.91,1.25,1.17,1.24
367-U1500B,15,exponential,y = 1.03*exp(0.00*x),0.01,1.99,14.18,0.91,1.25,1.17,1.24
367-U1500B,15,logarithmic,y = -0.02*ln(x) + 1.11,0.01,1.99,14.18,0.91,1.25,1.17,1.24
367-U1500B,15,power,y = 1.11*x^-0.02,0.01,1.99,14.18,0.91,1.25,1.17,1.24
368-U1501D,16,linear,y = 0.00*x + 0.95,0.01,2.0,15.11,0.7,1.26,1.07,1.26
368-U1501D,16,exponential,y = 0.95*exp(0.00*x),0.01,2.0,15.11,0.7,1.26,1.07,1.26
368-U1501D,16,logarithmic,y = 0.00*ln(x) + 0.98,0.0,2.0,15.11,0.7,1.26,1.07,1.26
368-U1501D,16,power,y = 0.98*x^0.00,0.0,2.0,15.11,0.7,1.26,1.07,1.26
368-U1502B,17,linear,y = 0.03*x + 0.84,0.16,1.27,8.92,0.83,1.29,0.93,0.94
368-U1502B,17,exponential,y = 0.85*exp(0.03*x),0.15,1.27,8.92,0.83,1.29,0.93,0.94
368-U1502B,17,logarithmic,y = 0.10*ln(x) + 0.84,0.13,1.27,8.92,0.83,1.29,0.93,0.94
368-U1502B,17,power,y = 0.83*x^0.11,0.13,1.27,8.92,0.83,1.29,0.93,0.94
368-U1505C,18,linear,y = 0.04*x + 0.70,0.94,1.59,19.04,0.83,1.47,0.83,1.47
368-U1505C,18,exponential,y = 0.76*exp(0.04*x),0.94,1.59,19.04,0.83,1.47,0.83,1.47
369-U1512A,19,linear,y = 0.02*x + 0.83,0.27,2.27,23.95,0.83,1.5,1.17,1.5
369-U1512A,19,exponential,y = 0.82*exp(0.02*x),0.32,2.27,23.95,0.83,1.5,1.17,1.5
369-U1513D,20,linear,y = 0.01*x + 0.78,0.16,1.8,22.63,0.76,1.22,0.77,1.22
369-U1513D,20,exponential,y = 0.78*exp(0.01*x),0.17,1.8,22.63,0.76,1.22,0.77,1.22
375-U1520C,21,logarithmic,y = -0.10*ln(x) + 1.19,0.33,2.52,23.2,0.82,1.16,1.14,0.91
375-U1520C,21,power,y = 1.23*x^-0.11,0.35,2.52,23.2,0.82,1.16,1.14,0.91
392-U1579D,22,linear,y = 0.04*x + 0.67,0.31,0.93,7.86,0.7,1.17,0.83,1.17
392-U1579D,22,exponential,y = 0.67*exp(0.05*x),0.35,0.93,7.86,0.7,1.17,0.83,1.17
392-U1580A,23,linear,y = 0.02*x + 0.69,0.12,0.89,9.25,0.67,1.28,0.82,0.72
392-U1580A,23,exponential,y = 0.69*exp(0.03*x),0.13,0.89,9.25,0.67,1.28,0.82,0.72
