well,well_id,function,expression,r2,x_min,x_max,y_min,y_max,y_at_x_min,y_at_x_max
349-U1431E,1,linear,y = 3.44*x + -4.21,0.98,0.45,17.29,0.71,56.11,0.71,56.11
349-U1431E,1,exponential,y = 6.56*exp(0.13*x),0.93,0.45,17.29,0.71,56.11,0.71,56.11
349-U1431E,1,power,y = 1.32*x^1.33,0.98,0.45,17.29,0.71,56.11,0.71,56.11
349-U1433B,2,logarithmic,y = 22.73*ln(x) + -19.85,0.96,2.91,27.4,7.34,55.21,7.34,55.21
349-U1433B,2,power,y = 5.84*x^0.70,0.93,2.91,27.4,7.34,55.21,7.34,55.21
353-U1445A,3,linear,y = 2.36*x + -1.17,0.8,2.49,23.49,5.14,50.04,5.14,50.04
353-U1445A,3,power,y = 2.21*x^1.01,0.8,2.49,23.49,5.14,50.04,5.14,50.04
355-U1456C,4,logarithmic,y = 21.32*ln(x) + -19.56,0.68,2.3,27.13,5.26,66.26,5.26,39.53
355-U1456C,4,power,y = 4.82*x^0.74,0.67,2.3,27.13,5.26,66.26,5.26,39.53
356-U1459C,5,linear,y = 3.26*x + -3.76,0.85,0.88,7.01,1.67,18.77,1.67,17.35
356-U1459C,5,power,y = 1.06*x^1.51,0.86,0.88,7.01,1.67,18.77,1.67,17.35
356-U1461D,6,logarithmic,y = 4.73*ln(x) + 3.07,0.5,1.03,7.24,2.73,14.04,2.73,8.5
356-U1462A,7,logarithmic,y = 4.91*ln(x) + 1.95,0.89,0.87,5.66,1.71,11.09,1.71,8.99
356-U1462A,7,power,y = 2.90*x^0.77,0.86,0.87,5.66,1.71,11.09,1.71,8.99
356-U1463B,8,linear,y = 2.73*x + -2.13,0.91,1.11,14.4,2.11,36.27,2.11,33.75
356-U1463B,8,power,y = 1.78*x^1.15,0.91,1.11,14.4,2.11,36.27,2.11,33.75
356-U1464C,9,linear,y = 2.63*x + 0.76,0.9,0.93,13.48,1.65,31.65,1.65,31.65
